id 	 label 	 feature
813	bin813	nuclear_DNA
814	bin814	nuclear_DNA
815	bin815	nuclear_DNA
816	bin816	nuclear_DNA
817	bin817	nuclear_DNA
818	bin818	nuclear_DNA
819	bin819	nuclear_DNA
820	bin820	nuclear_DNA
821	bin821	nuclear_DNA
822	bin822	nuclear_DNA
823	bin823	nuclear_DNA
824	bin824	nuclear_DNA
825	bin825	nuclear_DNA
826	bin826	nuclear_DNA
827	bin827	nuclear_DNA
828	bin828	nuclear_DNA
829	bin829	nuclear_DNA
830	bin830	nuclear_DNA
831	bin831	nuclear_DNA
832	bin832	nuclear_DNA
833	bin833	nuclear_DNA
834	bin834	nuclear_DNA
835	bin835	nuclear_DNA
836	bin836	nuclear_DNA
837	bin837	nuclear_DNA
838	bin838	nuclear_DNA
839	bin839	nuclear_DNA
840	bin840	nuclear_DNA
841	bin841	nuclear_DNA
842	bin842	nuclear_DNA
843	bin843	nuclear_DNA
844	bin844	nuclear_DNA
845	bin845	nuclear_DNA
846	bin846	nuclear_DNA
847	bin847	nuclear_DNA
848	bin848	nuclear_DNA
849	bin849	nuclear_DNA
850	bin850	nuclear_DNA
851	bin851	nuclear_DNA
852	bin852	nuclear_DNA
853	bin853	nuclear_DNA
854	bin854	nuclear_DNA
855	bin855	nuclear_DNA
856	bin856	nuclear_DNA
857	bin857	nuclear_DNA
858	bin858	nuclear_DNA
859	bin859	nuclear_DNA
860	bin860	nuclear_DNA
861	bin861	nuclear_DNA
862	bin862	nuclear_DNA
863	bin863	nuclear_DNA
864	bin864	nuclear_DNA
865	bin865	nuclear_DNA
866	bin866	nuclear_DNA
867	bin867	nuclear_DNA
868	bin868	nuclear_DNA
869	bin869	nuclear_DNA
870	bin870	nuclear_DNA
871	bin871	nuclear_DNA
872	bin872	nuclear_DNA
873	bin873	nuclear_DNA
874	bin874	nuclear_DNA
875	bin875	nuclear_DNA
876	bin876	nuclear_DNA
877	bin877	nuclear_DNA
878	bin878	nuclear_DNA
879	bin879	nuclear_DNA
880	bin880	nuclear_DNA
881	bin881	nuclear_DNA
882	bin882	nuclear_DNA
883	bin883	nuclear_DNA
884	bin884	nuclear_DNA
885	bin885	nuclear_DNA
886	bin886	nuclear_DNA
887	bin887	nuclear_DNA
888	bin888	nuclear_DNA
889	bin889	nuclear_DNA
890	bin890	nuclear_DNA
891	bin891	nuclear_DNA
892	bin892	nuclear_DNA
893	bin893	nuclear_DNA
894	bin894	nuclear_DNA
895	bin895	nuclear_DNA
896	bin896	nuclear_DNA
897	bin897	nuclear_DNA
898	bin898	nuclear_DNA
899	bin899	nuclear_DNA
900	bin900	nuclear_DNA
901	bin901	nuclear_DNA
902	bin902	nuclear_DNA
903	bin903	nuclear_DNA
904	bin904	nuclear_DNA
905	bin905	nuclear_DNA
906	bin906	nuclear_DNA
907	bin907	nuclear_DNA
908	bin908	nuclear_DNA
909	bin909	nuclear_DNA
910	bin910	nuclear_DNA
911	bin911	nuclear_DNA
912	bin912	nuclear_DNA
913	bin913	nuclear_DNA
914	bin914	nuclear_DNA
915	bin915	nuclear_DNA
916	bin916	nuclear_DNA
917	bin917	nuclear_DNA
918	bin918	nuclear_DNA
919	bin919	nuclear_DNA
920	bin920	nuclear_DNA
921	bin921	nuclear_DNA
922	bin922	nuclear_DNA
923	bin923	nuclear_DNA
924	bin924	nuclear_DNA
925	bin925	nuclear_DNA
926	bin926	nuclear_DNA
927	bin927	nuclear_DNA
928	bin928	nuclear_DNA
929	bin929	nuclear_DNA
930	bin930	nuclear_DNA
931	bin931	nuclear_DNA
932	bin932	nuclear_DNA
933	bin933	nuclear_DNA
934	bin934	nuclear_DNA
